neighborhood,time of event,event description,art event indicator
Upper East Side,2011-04-29T18:00:00-0700,"Date: Friday, April 29
Time: 6 p.m.
Location: The Commons, 3rd Floor, Main Building
Cost: $10

The Psychology Alumni Society of Marymount Manhattan College will be hosting its annual Spring Networking event on Friday, April 29 at 6 p.m. The event will take place at Marymount Manhattan College in The Commons (3rd Floor, Main Building). The cost to attend the event is $10. Refreshments will be served. PSYAÛªs Spring Networking event is open to everyone.

You must RSVP...go to this link: 

http://www.mmm.edu/cgi-bin/MySQLdb?MYSQL_VIEW=/news/view_one.txt&newsid=1785",0
Upper East Side,2011-04-28T20:00:00-0700,"Performances: April 28-29 at 8 p.m., April 30 at 2 p.m. and 8 p.m., May 5 at 8 p.m., May 7 at 2 p.m. and 8 p.m.
Location: Theresa Lang Theatre
Tickets: General admission, $12; senior citizens and students with valid ID, $8; Admission is free for MMC students, faculty and staff with valid MMC ID card.
Reservations: (212) 517-0610

The MMC dance department presents the Spring Repertoire from April 28 to May 7. In keeping with the philosophy of the department, the program will feature a variety of styles by leading choreographers in the dance community. This seasonÛªs Spring Repertoire features reconstructions of Crucible by Alwin Nikolais, Dance 2 by Pam Tanowitz, and Map by Shen Wei.

A special gala benefit will be held on Friday, May 6 at 7:30 p.m. in the Great Hall. Gala tickets are $75 in advance and $80 at the door. Proceeds from the gala will benefit the MMC Dance Company.",1
Upper East Side,2011-04-17T17:00:00-0700,"Dylan Riley (ceramic sculpture) and Amanda Schneiderman (painting) in west gallery and Marybeth Merrell (photography) in east gallery. 

Dylan and AmandaÛªs Reception Thursday 4/21. 

Take down Thursday April 28th",1
Upper East Side,2011-04-16T23:00:00-0700,"Contact: conf-bioursymp@wpunj.edu 

Marymount Manhattan College will cosponsor the 5th Annual Undergraduate Research Symposium in the Biological and Chemical Sciences at William Paterson University of New Jersey. This event provides an excellent forum for presentation of research findings by undergraduate students enrolled in colleges and universities in the Mid-Atlantic area. The format of this yearÛªs meeting will include morning and afternoon poster sessions, a keynote address by an invited speaker, lunch, and an awards ceremony. Posters will be judged by a panel of attending mentors, and first and second place awards will be presented to the top undergraduate poster presenters in the following seven categories: Biochemistry, Physiology, Cell & Molecular Biology, Genetics, Ecology & Evolution, Nanochemistry and General & Material Chemistry. In addition, three names will be drawn from the first place awards to receive an iPod at the conclusion of the awards ceremony. The symposium is hosted by the WPUNJÛªs Department of Biology, College of Science and Health.",0
Upper East Side,2011-04-13T13:00:00-0700,"Back by popular demand, French Conversation Hour is back! Come and join French native speaker, Alyssa McGuigan, for some sweets and French conversation! All levels are welcome. French Conversation Hour will take place every Wednesday from 1:00-2:00pm in N462.",0
Upper East Side,2011-04-13T12:00:00-0700,"Spanish Conversation hour is an opportunity for all levels of Spanish speakers to hone their skills.  Join Native speaker, Natalia Tuero, this Wednesday at noon for food and fun!  Spanish Conversation Hour will continue at this time for the duration of the semester. Nugent 462. See you there!",0
Upper East Side,2011-04-07T00:00:00-0700,"WE'VE EXTENDED THE SUBMISSIONS DEADLINE TO THURSDAY AT NOON!

Showcase will take place Tuesday, April 26th. Students whose work is selected to be featured may win cash prizes. It's a lovely night where Professors and Students come together to celebrate work. Submit anything from a Comm Arts Class you've taken at Marymount by April 5th. Questions? ERocklin@mmm.edu",1
Upper East Side,2011-04-06T13:00:00-0700,"The Office of Student Development & Activities invites you to a diversity discussion series called First Wednesdays.  This series will give all members of the College (students, staff and faculty) an opportunity to come together for a fruitful conversation on a specific topic in a safe and open environment.  We will address different issues of diversity, inclusivity, language and behavior and how we might work together to address the topics both on- and off -campus.  Please join us for some or all of the conversations.  All conversations will begin at 1pm and last for an hour.  Drinks and dessert provided.  Bring your lunch!",0
Upper East Side,2011-04-06T13:00:00-0700,"Main, The Chapel (4th floor across from cafeteria)
Kelly Shannon is a certified yoga teacher with Integral Yoga Institute for Hatha I. She is presently being certified at the Intermediate level for Hatha II. Kelly has a MSW with a focus in international studies and policy.  She is also a graduate from the North American Nonviolent Communication (NVC) Leadership Program and East Coast NVC Mediation Program. Kelly presently enjoys synergizing yoga, peace-building and NVC-specifically working with children through college age youth!  Classes start promptly at 1pm -mats are provided.  For more information contact Rebecca Buchanan, Director of Campus Ministry at rbuchanan@mmm.edu.",1
Upper East Side,2011-03-27T23:30:00-0700,"Em, a student at Marymount needs your votes!!!!!!!!!!!!!!
It's so simple to vote! GOOOOOOOOOO!

http://www.siteforrent.com/audition/contest1.php?rateno=139",0
Upper East Side,2011-03-23T19:00:00-0700,"Wednesday, March 23rd
Credit and Financial Planning: ÛÏHow to Avoid the Plastic KillerÛ
7pm-8pm
Main, Commons West  
A panel presentation on Credit and Financial Planning.
Sponsored by the Division of Accounting and Business Management, The Marymount Business Association Club, and the Omicron Theta Chapter of Alpha Kappa Alpha Sorority, Inc.
Contact: VRao@mmm.edu",1
Upper East Side,2011-03-22T10:00:00-0700,"10am-11:20am
Main 201
Feeling pressed for time especially as midterms and finals approach? This workshop will review time management strategies and how to set priorities and make decisions to use your time most effectively.",0
Upper East Side,2011-03-22T02:30:00-0700,"2:30pm-6pm
Main, Regina Peruggi Room
How do you Live Your Truth? Pledge to shed LYT over issues on diversity and difference within the Marymount community and Live Your Truth by getting your picture taken with the official LYT Campaign tattoo! Free food! For questions, email gsnap@mmm.edu.",0
Upper East Side,2011-03-09T20:00:00-0800,"Wednesday, March 9-Saturday, March 12 at 8 p.m. 
and Sunday, March 13 at 2 p.m.
Location: Theresa Lang Theatre
Contact: MMC Theatre Office, 212) 774-0760, theatretickets@mmm.edu 

The Thursday night performance will be interpreted in American Sign Language. ASL accessible seating is available upon request when reserving tickets.

Marymount Manhattan College Theatre Production Workshop presents a revival of Time and the Conways by J.B. Priestly from Wednesday, March 9 through Saturday, March 12 at 8 p.m. and on Sunday, March 13 at 2 p.m. in the Theresa Lang Theatre, located at 221 East 71st Street. 

Time and the Conways (1937) is a meditation on J. W. DunneÛªs theory of serial time, attesting that time is not merely a linear progression, but a concept that simultaneously contains past, present and future. The play follows the story of the seemingly perfect Conway familyÛÓAct One presents their perfect day, Act Two their worst day, and Act Three, the realization that their travails have paralleled the vanquished ideals of the British people between the wars. 

This production is performed by students in the Theatre Arts programs of the College with direction by Associate Professor of Theatre Arts Kevin Connell, scenic design by Sofia Palacios Blanca, costume design by Elise Vanderkley, lighting design by Matthew McCarthy, sound design by Meghan Rose Murphy, and dialect and text coaching by Professor of Theatre Arts Barbara Adrian. 

General admission tickets are $10. Tickets for senior citizens and students of others schools (with valid ID) are $5, and admission is free of charge for MMC students, alumni, faculty, and staff (with valid MMC ID). TDF vouchers are accepted. 

For further information, and to reserve tickets beginning February 23, call (212) 774-0760 or e-mail: TheatreTickets@mmm.edu. Be sure to include your full name, phone number, the desired performance date, and number of tickets. The Theresa Lang Theatre at Marymount Manhattan College is located at 221 East 71st Street, New York, NY. The College is accessible by subway, via the #6 Lexington Ave. Local or by the M 15 (Second Ave.) or M101, 102, 103 (Third Ave.) bus.",1
Upper East Side,2011-03-09T17:00:00-0800,"Relax, have fun, meet new friends, free snacks!",0
Upper East Side,2015-03-16T17:00:00-0400,"All night long, we will have a menu of select food and beverage items priced at $10, and late night we will be featuring select bottles of wine at half price. Come cheers to another 10 years on the upper east side.",0
Upper East Side,2016-05-07T15:00:00-0400,Come join us for our annual Derby party this Saturday at The Supply House! Come put a flutter on the ponies in your finest gentlemanly seersucker or darling hats! Mint Juleps will be flowing....we expect to see you there!,0
Upper East Side,2015-05-02T15:00:00-0400,"Mint Julips, Southern Gents, Splendid Hats and of course the Ponies!! Come Pre Game in your finest attire with specials from 3pm. Prizes for the best dressed!",0
Upper East Side,2014-10-31T21:00:00-0400,We will be hosting our first Halloween Party at The Supply HouseÛ_.come join the fun with drink specials and prizes for the best dressed on the night!!,1
Upper East Side,2014-05-03T15:00:00-0400,Don your finest Derby attire for The Supply House's premiere Derby Day. Woodford Reserve will be joining us in preparing Mint Julips along with other specials.,0
Upper East Side,2014-01-19T00:00:00-0800,Enjoy our delicious sampling of the menu,0
Upper East Side,2016-09-16T17:00:00-0400,"Chef Carlos & Victor are honored to invite our friends and family to celebrate with us. Join us for Special  Cocktails, Botanas & Live Music by our Special Guest: Los Tres Jazz Band  Sinoe ""Rocola de Cantina"" Band & Latin Grammy Award Nominated Artist DJ Carlos Escalona",1
Upper East Side,2016-04-13T19:00:00-0400,Chief Alchemist Guest Franco Davide Borgia,0
Upper East Side,2015-11-21T22:00:00-0500,"#HBDCHEFCARLOS #LAPULPCULTURE
You are invited to come celebrate Chef Carlos's birthday tonight! The more the merrier as this is an open invitation event. 
Live music starting at 10pm. Midtown HK Location",0
Upper East Side,2015-09-18T16:00:00-0400,"In appreciation for all your support throughout our 1st year in Business, we want to say Thank You in a Big Way. Mariachis as well as Nilko Andreas and his band will be providing the entertainment through the night. The fun begins at 4pm. 
We hope to see you all.",0
Upper East Side,2015-09-07T12:00:00-0400,"We are Open for Lunch and Throughout. Happy Hour All Day Long, so come on in, sit back and enjoy the Fruits of Your Labor!",0
Upper East Side,2015-08-22T22:00:00-0400,Jarana Beat Performing Live for the enjoyment of All,0
Upper East Side,2015-08-12T16:00:00-0400,"Starting tomorrow and every Wednesday till, oh, whenever!
""$35 Clam Bake For Two""",0
Upper East Side,2014-11-22T22:00:00-0500,"Join us in celebrating our very own, Partner/ Chef Carlos Barroz as he brings in another year of good times and appreciation.",0
Upper East Side,2014-10-31T22:00:00-0400,"Come in your Best Costume for Tricks, Treats and Prizes",0
Upper East Side,2014-10-18T22:00:00-0400,Celebrating Birthday Festivities for one of our Dearest Guest and Inviting all to come and enjoy the Night Away,0
Upper East Side,2016-11-19T12:00:00-0500,"Join our FREE Cardio-Kickboxing + IronStrength Workout at the Central Park Bandshell on Saturday at noon. Great tunes, great people, great workout. All ages and fitness levels welcome! RSVP below!",0
Upper East Side,2016-11-12T07:30:00-0500,"Location: Harlem Meer (Inside the Park at 110th Street between Fifth and Lenox Avenues)

Connect with your fellow dog-owners and enjoy coffee and refreshments from 7:30 am - 9:30 am. Learn more about Central Park and how its vibrant dog community can help keep the Park healthy and beautiful.

Dogs are allowed off-leash until 9:00 am. Dog-related educational programming presented from 9:00 am - 9:30 am; topics vary each month.

Free; registration not required.

For more information, please call 212.310.6678, Monday through Friday, 10:00 am - 5:00 pm. Please consult our calendar for weather-related program updates: centralparknyc.org/calendar.

Bagel Barks are hosted by Central Park Paws, a program of Central Park Conservancy, and take place in different dog-friendly areas all over the Park.",1
Upper East Side,2016-05-08T10:00:00-0400,"Experience Central Park as a precious bird habitat and migration hot spot! Bring your family on a guided walk led by Central Park Conservancy staff and the NYC Audubon Society. Learn how to spot our feathered residents and their foreign cousins as they pass through Central Park during their annual migration.  Witness firsthand how the Conservancy's work has made the Park a sanctuary for these birds. Binoculars available to borrow.

Birding Basics for Families: The Ramble
Saturdays, April 30 - May 28, 2016 - 10:00 am - 11:00 am 
Belvedere Castle, mid-Park at 79th Street


Birding Basics for Families: North Woods
Sundays, May 1 - 29, 2016 - 10:00 am - 11:00 am
Charles A. Dana Discovery Center, inside the Park at 110th Street between Fifth and Lenox Avenues

Free; pre-registration is recommended as space is limited. http://support.centralparknyc.org/site/Survey?ACTION_REQUIRED=URI_ACTION_USER_REQUESTS&SURVEY_ID=5141&autologin=true

Ages 5+. Families only: maximum of three children per parent or guardian; no groups. Arrive early to check in.

Please note, the terrain is uneven, with hills, stairs, and wood-chipped trails and may not be suitable for strollers.  We are unfortunately unable to store strollers.

In case of inclement weather, please check our website or call 212.860.1370 for updates.",1
Upper East Side,2016-05-07T12:00:00-0400,"Date: Saturday, May 7, 2016
Time: 12:00 pm - 3:00 pm
Location: Belvedere Castle, mid Park at 79th street


Celebrate the bird migration season at Central Park Conservancy's annual On A Wing Festival. Meet live bats, butterflies, and birds of prey, some of which call Central Park their home. Look for migrating warblers and other songbirds at a Birding Basics for Families Walk and learn how essential these winged beings are to the ecosystem.

Borrow a Discovery Kit and create your own Central Park adventure, exploring how the Conservancy's work has made the Park a sanctuary for birds, bats, and butterflies. This festival features interactive presentations from the Organization for Bat Conservation, Talons!, NYC Audubon Society, Long Island Aquarium, Artist, Jessica Daryl Winer, and more.

This event is free. Tickets are not required. Let us know you're coming. Open to all ages. http://www.eventbrite.com/e/on-a-wing-festival-tickets-23239183022?aff=CPCwebcalendarlisting

Member Perk: Show your family membership card to receive a free Shakespeare Garden Discovery Journal.

Schedule of Events:
12:00 PM

Shakespeare Garden: Secret World of Insects and Butterflies presented by Long Island Aquarium
Birding Basics for Families Walk: Ramble
Flight Patterns: Drawing the Shakespeare Garden with Artist, Jessica Daryl Winer
1:00 PM

Live Bat Encounter presented by Organization for Bat Conservation
Birding Basics for Families Walk: Ramble
Flight Patterns: Drawing the Shakespeare Garden with Artist, Jessica Daryl Winer
2:00 PM

Talons! Live Bird of Prey Experience presented by Master Falconer, Lorrie Schumacher
Birding Basics for Families Walk: Ramble
Flight Patterns: Drawing the Shakespeare Garden with Artist, Jessica Daryl Winer
Ongoing Activities:
Discovery Kit exploration in the Ramble
The Cornell Lab of Ornithology: Colors of Flight activity
Wild Bird Fund: Rescued City ""Ambassadors"" of Flight
Photo Opportunity with Talons! Bird of Prey Experience
Meet and greet live insects, bugs, and butterflies that call Shakespeare Garden Home
This event takes place rain or shine, except in extreme weather conditions (heavy rain, sustained winds of 30mph or heat index above 95 degrees). For more information, please call 646.208.4111.",1
Upper East Side,2016-05-07T10:00:00-0400,"Experience Central Park as a precious bird habitat and migration hot spot! Bring your family on a guided walk led by Central Park Conservancy staff and the NYC Audubon Society. Learn how to spot our feathered residents and their foreign cousins as they pass through Central Park during their annual migration.  Witness firsthand how the Conservancy's work has made the Park a sanctuary for these birds. Binoculars available to borrow.

Birding Basics for Families: The Ramble
Saturdays, April 30 - May 28, 2016 - 10:00 am - 11:00 am 
Belvedere Castle, mid-Park at 79th Street


Birding Basics for Families: North Woods
Sundays, May 1 - 29, 2016 - 10:00 am - 11:00 am
Charles A. Dana Discovery Center, inside the Park at 110th Street between Fifth and Lenox Avenues

Free; pre-registration is recommended as space is limited. http://support.centralparknyc.org/site/Survey?ACTION_REQUIRED=URI_ACTION_USER_REQUESTS&SURVEY_ID=5141&autologin=true

Ages 5+. Families only: maximum of three children per parent or guardian; no groups. Arrive early to check in.

Please note, the terrain is uneven, with hills, stairs, and wood-chipped trails and may not be suitable for strollers.  We are unfortunately unable to store strollers.

In case of inclement weather, please check our website or call 212.860.1370 for updates.",1
Upper East Side,2016-05-07T07:30:00-0400,"Join Central Park Paws at our next Bagel Bark! Meet and greet others who make up Central ParkÛªs vibrant dog community. Build neighborhood and Park-wide linkages over light fare, while you learn how everyone can work together to keep Central Park healthy and beautiful for all to enjoy.

Free; registration not required. Dogs are allowed off-leash until 9:00 AM. From 9:00-9:30 AM, join Paws and Central Park Conservancy for special programming concerning some of the interests of the ParkÛªs dog community.

For more information, please call 212.310.6600, Monday through Friday, 10:00 AM - 5:00 PM. Please consult our calendar for weather-related program updates: centralparknyc.org/events

Bagel Barks are hosted by Central Park Paws, a program of Central Park Conservancy and take place in different dog-friendly areas all over the Park. http://www.centralparknyc.org/about/programs/central-park-paws/

Download Map of Event Location http://www.centralparknyc.org/assets/pdfs/maps/bagelbark-north-meadow-east-2016.pdf",1
Upper East Side,2016-05-06T14:00:00-0400,"From a nineteenth century ""castle"" to a 3,500-year-old Egyptian obelisk, Central Park Conservancy guides take you on a memorable 90-minute walk through some of Central ParkÛªs best-loved highlights.

Enjoy the sweeping vistas of the Great Lawn from Belvedere Castle. Learn how Turtle Pond got its name. And stroll east to the most ancient outdoor artifact in New York City.

Details
Meet: Belvedere Castle (mid-Park at 79th Street). Map of start location http://www.centralparknyc.org/assets/images/tour/Belvedere-Castle-Map.jpg

Terrain: Moderate inclines and a few stairs
Length of Tour: approximately 90 minutes
Cost: Tickets $15 (Members $10)

For more information, please review our Frequently Asked Questions (FAQ). http://www.centralparknyc.org/tours/tour-faq.html

For weather cancellation and other ticket policies, please review our Policies carefully.http://www.centralparknyc.org/tours/guided-tours/tour-policies.html

This tour is being presented in partnership with Celebrating the City: Jane Jacobs at 100, a series of programs across the world dedicated to legendary urban activist Jane Jacobs on the 100th anniversary of her birth. http://jj100.org/",1
Upper East Side,2016-05-06T11:00:00-0400,"Take our signature tour, and let Central Park Conservancy guides give you an insider's look at some of the most iconic features of the world's greatest urban park. Learn how rocky, swampy land was built into the living work of art that is Central Park today. Highlights of this tour include the Dairy, Sheep Meadow, Cherry Hill, the Lake, Bow Bridge, Bethesda Terrace, The Mall, and Literary Walk.

Details
Meet: Tour starts and ends at the Dairy Visitor Center (mid-Park between 64th and 65th Streets). Enter the Park at 60th Street and Fifth Avenue, and follow the path adjacent to the drive (road) north; the Dairy will be on your left. Map of start location http://www.centralparknyc.org/assets/images/tour/Dairy-Map.jpg

Terrain: A few stairs
Length of Tour: approximately 90 minutes
Cost: Tickets $15 (Members $10)

For more information, please review our Frequently Asked Questions (FAQ). http://www.centralparknyc.org/tours/tour-faq.html

For weather cancellation and other ticket policies, please review our Policies carefully. http://www.centralparknyc.org/tours/guided-tours/tour-policies.html",1
Upper East Side,2016-05-04T11:00:00-0400,"Coined the 'wild garden' by designer Frederick Law Olmsted, the Ramble offers visitors a tranquil spot to meander along winding paths and discover hidden forest gardens. This truly is a place for the urban explorer to escape the city and get lost in nature.

Join us for a tour of this serene 36-acre woodland, led by Central Park Conservancy guides. Highlights of this tour include the Lake, Bow Bridge, Ramble Arch, Oak Bridge, the Gill, and Azalea Pond.

Details
Meet: Belvedere Castle (mid-Park at 79th Street). Tour ends at Oak Bridge (West Side of the Ramble between 77th and 78th Streets). Map of start location http://www.centralparknyc.org/assets/images/tour/Belvedere-Castle-Map.jpg

Terrain: Uneven, with hills, stairs, and wood-chipped trails
Length of Tour: approximately 90 minutes
Cost: Tickets $15 (Members $10)

For more information, please review our Frequently Asked Questions (FAQ). http://www.centralparknyc.org/tours/tour-faq.html

For weather cancellation and other ticket policies, please review our Policies carefully. http://www.centralparknyc.org/tours/guided-tours/tour-policies.html",0
Upper East Side,2016-05-02T11:00:00-0400,"Central Park has long been revered as a masterpiece of living art. Visitors on this tour will admire Park vistas as if walking through a landscape painting, all while learning about the Park's intricate design features. Discover the Park's most artfully executed landscapes on this tour led by Central Park Conservancy guides. Highlights of this tour include: Sheep Meadow, the Mall, Bethesda Terrace, Bow Bridge, the Ramble, and Belvedere Castle.

Details
Meet: Tour starts at the Dairy Visitor Center (mid-Park between 64th and 65th Streets). Enter the Park at 60th Street and Fifth Avenue, and follow the path adjacent to the drive (road) north; the Dairy will be on your left. Tour ends at Belvedere Castle (mid-Park at 79th Street). Map of start location http://www.centralparknyc.org/assets/images/tour/Dairy-Map.jpg

Terrain: Hills and stairs 
Length of Tour: approximately 90 minutes 
Cost: Tickets $15 (Members $10)

For more information, please review our Frequently Asked Questions (FAQ). http://www.centralparknyc.org/tours/tour-faq.html

For weather cancellation and other ticket policies, please review our Policies carefully. http://www.centralparknyc.org/tours/guided-tours/tour-policies.html",0
Upper East Side,2016-05-01T13:00:00-0400,"Bring your family and discover the diversity of trees growing in Central Park with a guided walk and hands-on exploration. Learn about what makes Central Park a sanctuary for plants, animals, and humans alike. Borrow a Discovery Kit mdash; a rugged backpack filled with kid-friendly binoculars, field guides, and other discovery tools.

Pre-registration required as space is limited. http://support.centralparknyc.org/site/Survey?ACTION_REQUIRED=URI_ACTION_USER_REQUESTS&SURVEY_ID=5141&autologin=true

 Ages 5+. Families only; maximum of three children per parent or guardian; no groups, please. Please arrive at Chess & Checkers House 15 minutes before the start of the Discovery Walk to allow time for check in and to pick up Discovery Kits.

Terrain: Uneven, with hills and stairs; may not be suitable for strollers.

Register Now > http://support.centralparknyc.org/site/Survey?ACTION_REQUIRED=URI_ACTION_USER_REQUESTS&SURVEY_ID=5141&autologin=true",1
Upper East Side,2016-05-01T11:00:00-0400,"Take our signature tour, and let Central Park Conservancy guides give you an insider's look at some of the most iconic features of the world's greatest urban park. Learn how rocky, swampy land was built into the living work of art that is Central Park today. Highlights of this tour include the Dairy, Sheep Meadow, Cherry Hill, the Lake, Bow Bridge, Bethesda Terrace, The Mall, and Literary Walk.

Details
Meet: Tour starts and ends at the Dairy Visitor Center (mid-Park between 64th and 65th Streets). Enter the Park at 60th Street and Fifth Avenue, and follow the path adjacent to the drive (road) north; the Dairy will be on your left. Map of start location http://www.centralparknyc.org/assets/images/tour/Dairy-Map.jpg

Terrain: A few stairs
Length of Tour: approximately 90 minutes
Cost: Tickets $15 (Members $10)

For more information, please review our Frequently Asked Questions (FAQ). http://www.centralparknyc.org/tours/tour-faq.html

For weather cancellation and other ticket policies, please review our Policies carefully.http://www.centralparknyc.org/tours/guided-tours/tour-policies.html",1
Upper East Side,2016-05-01T10:00:00-0400,"Bring your family and discover the diversity of trees growing in Central Park with a guided walk and hands-on exploration. Learn about what makes Central Park a sanctuary for plants, animals, and humans alike. Borrow a Discovery Kit mdash; a rugged backpack filled with kid-friendly binoculars, field guides, and other discovery tools.

Pre-registration required as space is limited. http://support.centralparknyc.org/site/Survey?ACTION_REQUIRED=URI_ACTION_USER_REQUESTS&SURVEY_ID=5141&autologin=true

 Ages 5+. Families only; maximum of three children per parent or guardian; no groups, please. Please arrive at Chess & Checkers House 15 minutes before the start of the Discovery Walk to allow time for check in and to pick up Discovery Kits.

Terrain: Uneven, with hills and stairs; may not be suitable for strollers.

Register Now > http://support.centralparknyc.org/site/Survey?ACTION_REQUIRED=URI_ACTION_USER_REQUESTS&SURVEY_ID=5141&autologin=true",1
Upper East Side,2016-05-01T10:00:00-0400,"Experience Central Park as a precious bird habitat and migration hot spot! Bring your family on a guided walk led by Central Park Conservancy staff and the NYC Audubon Society. Learn how to spot our feathered residents and their foreign cousins as they pass through Central Park during their annual migration.  Witness firsthand how the Conservancy's work has made the Park a sanctuary for these birds. Binoculars available to borrow.

Birding Basics for Families: The Ramble
Saturdays, April 30 - May 28, 2016 - 10:00 am - 11:00 am 
Belvedere Castle, mid-Park at 79th Street


Birding Basics for Families: North Woods
Sundays, May 1 - 29, 2016 - 10:00 am - 11:00 am
Charles A. Dana Discovery Center, inside the Park at 110th Street between Fifth and Lenox Avenues

Free; pre-registration is recommended as space is limited. http://support.centralparknyc.org/site/Survey?ACTION_REQUIRED=URI_ACTION_USER_REQUESTS&SURVEY_ID=5141&autologin=true

Ages 5+. Families only: maximum of three children per parent or guardian; no groups. Arrive early to check in.

Please note, the terrain is uneven, with hills, stairs, and wood-chipped trails and may not be suitable for strollers.  We are unfortunately unable to store strollers.

In case of inclement weather, please check our website or call 212.860.1370 for updates.",1
Upper East Side,2016-04-30T10:00:00-0400,"Experience Central Park as a precious bird habitat and migration hot spot! Bring your family on a guided walk led by Central Park Conservancy staff and the NYC Audubon Society. Learn how to spot our feathered residents and their foreign cousins as they pass through Central Park during their annual migration.  Witness firsthand how the Conservancy's work has made the Park a sanctuary for these birds. Binoculars available to borrow.

Birding Basics for Families: The Ramble
Saturdays, April 30 - May 28, 2016 - 10:00 am - 11:00 am 
Belvedere Castle, mid-Park at 79th Street


Birding Basics for Families: North Woods
Sundays, May 1 - 29, 2016 - 10:00 am - 11:00 am
Charles A. Dana Discovery Center, inside the Park at 110th Street between Fifth and Lenox Avenues

Free; pre-registration is recommended as space is limited. http://support.centralparknyc.org/site/Survey?ACTION_REQUIRED=URI_ACTION_USER_REQUESTS&SURVEY_ID=5141&autologin=true

Ages 5+. Families only: maximum of three children per parent or guardian; no groups. Arrive early to check in.

Please note, the terrain is uneven, with hills, stairs, and wood-chipped trails and may not be suitable for strollers.  We are unfortunately unable to store strollers.

In case of inclement weather, please check our website or call 212.860.1370 for updates.",1
Upper East Side,2016-04-29T18:00:00-0400,"Healthy parks provide countless opportunities to help you stay healthy too!  Central Park Conservancy and renowned sports medicine physician, Dr. Jordan Metzl, have teamed up with New York City Ballet in celebration of International Dance Day to offer you a unique fitness class that is guaranteed to leave you feeling like a star. 

Expert trainers from Physique 57, NYCÛªs top barre workout, and Ironstrength (functional strength training for injury prevention and performance enhancement) will lead you in a 60-minute class that will make you sweat, smile, and build strength and fitness.  Before the workout begins, Dr. Metzl, will interview a New York City Ballet dancer for a behind-the-scenes view into the life of a professional dancer and gain her tips for staying strong and healthy.

Date: Friday, April 29, 2016
Time: 6:00 pm ÛÒ 8:00 pm, class will be from 6:30 pm ÛÒ 7:30 pm
Location: Naumburg Bandshell (Mid-Park from 66th to 72nd Streets)

This program is FREE; pre-registration is recommended. Open to all fitness levels. https://secure2.convio.net/cpc/site/SSurvey?ACTION_REQUIRED=URI_ACTION_USER_REQUESTS&SURVEY_ID=6286",1
Upper East Side,2016-04-29T11:00:00-0400,"Take our signature tour, and let Central Park Conservancy guides give you an insider's look at some of the most iconic features of the world's greatest urban park. Learn how rocky, swampy land was built into the living work of art that is Central Park today. Highlights of this tour include the Dairy, Sheep Meadow, Cherry Hill, the Lake, Bow Bridge, Bethesda Terrace, The Mall, and Literary Walk.

Details
Meet: Tour starts and ends at the Dairy Visitor Center (mid-Park between 64th and 65th Streets). Enter the Park at 60th Street and Fifth Avenue, and follow the path adjacent to the drive (road) north; the Dairy will be on your left. Map of start location http://www.centralparknyc.org/assets/images/tour/Dairy-Map.jpg

Terrain: A few stairs
Length of Tour: approximately 90 minutes
Cost: Tickets $15 (Members $10)

For more information, please review our Frequently Asked Questions (FAQ). http://www.centralparknyc.org/tours/tour-faq.html

For weather cancellation and other ticket policies, please review our Policies carefully. http://www.centralparknyc.org/tours/guided-tours/tour-policies.html",1
Upper East Side,2016-04-28T13:00:00-0400,"Bring your family and celebrate Shakespeare GardenÛªs 100th Anniversary with a guided walk and hands-on exploration. Learn about what makes Central Park a sanctuary for plants, animals, and humans alike. Borrow a Discovery Kit ÛÓ a rugged backpack filled with kid-friendly binoculars, field guides, and other discovery tools.

Pre-registration required as space is limited. http://support.centralparknyc.org/site/Survey?ACTION_REQUIRED=URI_ACTION_USER_REQUESTS&SURVEY_ID=5141&autologin=true

Ages 5+. Families only; maximum of three children per parent or guardian; no groups, please. Please arrive at Belvedere Castle 15 minutes before the start of the Discovery Walk to allow time for check in and to pick up Discovery Kits.

Terrain: Uneven, with hills and stairs; may not be suitable for strollers.

Register Now > http://support.centralparknyc.org/site/Survey?ACTION_REQUIRED=URI_ACTION_USER_REQUESTS&SURVEY_ID=5141&autologin=true",1
Upper East Side,2016-04-28T11:00:00-0400,"Staff Pick! Did you know that the north end of Central Park has a rich history that includes the British having been stationed here during the American Revolution, and American troops stationed there during the War of 1812? Recent archaeological and historical investigations in the area have revealed even more information about how the ""Fort Landscape"" was used in the late 18th and early 19th centuries, before this area was part of Central Park. This season, join our guides and learn the history of this part of the Park, get insight into the studies in the area, and appreciate the recent restorations undertaken by the Conservancy.

Highlights of this tour include McGowan's Pass, Fort Clinton, Nutter's Battery, and the Harlem Meer.

Details
Meet: Charles A. Dana Discovery Center (inside the Park at 110th Street between Lenox and Fifth Avenues). Tour ends near the Park perimeter at 106th Street and Fifth Avenue. Map of start location http://www.centralparknyc.org/assets/images/tour/Dana-Center-Map.jpg

Terrain: Uneven, with many hills and stairs
Length of Tour: approximately 90 minutes
Cost: Tickets $15 (Members $10)",1
